SMILES,database,MolLogP,Acceptor_Count,Donor_Count,NumRotatableBonds,RingCount,MolWt,Experimental IC50 (log10)
O[C@@](C1CCCC1)(C1CCN(CCCOc2ccc(cc2)C#N)CC1)c1ccccn1,ippidb,4.51218,3,2,8,4,419.569,6.52
CN(CC(C(=O)O)c1ccc2CCOc2c1)C(=O)CCCCc3ccc4CCCNc4n3,timbal,3.4142,5,3,9,4,437.54,9.13076828026902
Cc1ccc(NC(=S)Nc2ccc(cc2)S(=O)(=O)Nc3nccs3)cc1Cl,timbal,4.71462,3,3,5,3,438.987,6.79588001734408
Clc1cc(Cl)cc(c1)N1C(=O)[C@@H]2C[C@@H](CN2C1=O)OCc1ccc(cc1)C#N,ippidb,3.99138,3,1,4,4,416.264,6.57
OC(=O)C[C@H](NC(=O)[C@@H]1CCCN(C1)C(=O)CCC2CCNCC2)c3cncc(c3)C#Cc4ccccc4,timbal,3.1318,5,4,8,4,516.642,9.07058107428571
CCC\N=C/1\C(\C(=C1O)O)=N\[C@@H](Cc2ccc(OCc3c(Cl)cccc3Cl)cc2)C(=O)O,timbal,3.7665,5,3,9,3,477.344,7.17392519729917
COc1ccc(cc1N2C(=Nc3ccccc3C2=O)CN4CCNCC4)[N+](=O)[O-],timbal,1.7077,3,2,5,4,395.419,5.3767507096021
OC(=O)CC(Cc1onc(CCCc2ccc3CCCNc3n2)n1)c4ccc5CCOc5c4,timbal,3.7339,6,2,9,5,448.523,9.20065945054642
CCC[C@H](C(O)=O)c1c(-c2ccccc2)c2cc(Cl)ccc2n(CCC)c1=O,ippidb,5.7002,3,1,7,3,397.902,5.03
Oc1c(C(=O)NNC(=O)c2ccccc2N(=O)=O)c(=O)[nH]c2ccccc12,ippidb,1.2167,4,4,3,3,368.305,5.6575773192
OC(=O)C[C@@H](NC(=O)[C@@H]1CCN1S(=O)(=O)c2cc(Cl)cc(Cl)c2)c3ccccc3,timbal,3.0886,5,2,7,3,457.335,8.61978875828839
COc1cc(N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)nc(n1)S(=O)(=O)C,timbal,2.9506,9,3,9,3,540.385,6.0
CCN(Cc1ccc(cc1)C#N)[C@H]1C[C@@H]2N(C1)C(=O)N(C2=O)c1cc(Cl)cc(Cl)c1,ippidb,4.29668,2,2,5,4,443.334,6.14
CC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC1=O)C(=O)O,timbal,-3.0556,9,9,10,2,632.722,5.88605664769316
Cc1noc(C)c1-c1ccc(OCCCN2CCOCC2)c(c1)S(=O)(=O)NC1CCCC1,ippidb,3.28044,5,2,9,4,463.6,6.0
COCCOCCN1c2ccc(I)cc2C(=O)N([C@H](C)c2ccc(Cl)cc2O)[C@@H](c2ccc(Cl)cc2)C1=O,ippidb,6.2579,5,2,9,4,669.343,5.61
CC1(C)Oc2cc(OC(=O)c3ccc(Br)cc3)ccc2CC1O,timbal,3.7427,4,1,2,3,377.234,4.77469071827414
Cc1ccc(NC(=S)Nc2ccc(cc2)S(=O)(=O)Nc3nccs3)cc1,timbal,4.06122,3,3,5,3,404.542,6.34678748622466
Cc1ccccc1NC(=O)Nc2ccc(CC(=O)Nc3nc(CC(=O)O)cs3)cc2,timbal,3.90382,5,4,7,3,424.482,4.82390874094432
O[C@@](C1CCCC1)(C1CCN(CCCOc2ccc(cc2)C#N)CC1)c1cccc(F)c1,ippidb,5.25628,3,2,8,4,436.571,6.71
Oc1ccc(cc1)[C@@H]1CC(=O)c2c(O)cc(O)cc2O1,ippidb,2.5099,5,3,1,3,272.256,5.77
O[C@H]1CCc2c1nccc2Nc1ccc2N(CCc3c[nH]c4ccccc34)C(=O)COc2c1,ippidb,4.2542,4,3,5,6,440.503,6.0
Fc1c(Cl)cccc1-c1c(nc(C2CCCCC2)n1-c1cc(Cl)cc(c1)C(=O)NCCN1CCOCC1)-c1nnn[nH]1,ippidb,5.275,7,5,8,6,613.525,7.49
C[C@@H](N1C(=O)c2ccccc2C1(OCCCCO)c3ccc(Cl)cc3)c4ccc(Cl)cc4,timbal,6.2006,3,2,8,4,470.396,5.60205999132796
CCC(C1CCCO1)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1,ippidb,6.4892,4,2,7,4,504.454,9.0
NC(=N)Nc1cccc(c1)C(=O)NNC(=O)NC(CC(=O)O)c2ccccc2,timbal,1.15197,4,7,6,2,384.396,8.58502665202918
OC(=O)[C@H](CNC(=O)c1ccc(cc1)N2CCNCC2)NS(=O)(=O)c3ccccc3,timbal,0.2577,5,4,8,3,432.502,7.79588001734408
CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)N[C@@H](CNC(=O)CCCCc3ccc4CCCNc4n3)C(=O)O)C(=O)C2,timbal,2.0367,7,4,12,4,534.679,10.0
COc1ccc(cc1OC)-c1cn(C)c(=O)c2cc(sc12)C(=O)N1CCN(CC1)S(C)(=O)=O,ippidb,2.0016,6,1,5,4,491.591,6.6999917974
CCOc1cc(Cl)c(cc1C1=N[C@H]([C@H](N1C(=O)N1CCNC(=O)C1)c1ccc(Cl)cc1)c1ccc(Cl)cc1)C#N,ippidb,6.01378,3,3,5,5,596.902,6.82
NC(=N)c1ccc(cc1)C(=O)Nc2ccc3C(=O)N(CC(=O)O)CCc3c2,timbal,1.30587,4,5,5,3,366.377,8.52287874528034
COc1ccnc(NC[C@@H]2C[C@H](CN2C(=O)CC(C)(C)C)OCC(=O)NC[C@H](NS(=O)(=O)c3c(C)cc(C)cc3C)C(=O)O)c1,timbal,2.39756,9,5,14,3,647.795,4.95860731484177
Oc1ccc(cc1)-c1nc2sc3CN(Cc4ccccc4)CCc3c2c(=O)[nH]1,ippidb,3.9155,3,4,3,5,389.48,5.1958605677
Cc1ccc(cc1C)[C@@]2(CCCO2)C(=O)N[C@@H](Cc3ccc(cc3)c4ccccc4O)C(=O)O,timbal,4.49384,5,3,7,4,459.542,8.20901152491119
O=C(NC1c2ccccc2c3ccccc13)NC(=O)c4ccccc4OCc5ccccc5,timbal,5.475,3,2,5,5,434.495,7.91721462968355
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c2ccc(cc2)C#N)C(=O)Nc3ccc(C(=O)NCc4ccccc4)c(c3)c5ccc(cc5)C(=O)N,timbal,5.47048,6,6,15,5,750.856,3.98716277529483
CCCCN(CCCC)C(=O)c1nn(c(C)c1Cl)c2ccc(cc2C(=O)N3Cc4ccccc4C[C@H]3COCCCOC)C(=O)NS(=O)(=O)c5ccc6ccccc6c5,timbal,7.76862,8,3,18,6,842.459,7.65757731917779
Cc1nc2cc(ccc2s1)C(CC(=O)O)Cc3csc(CCCc4ccc5CCCNc5n4)n3,timbal,5.79062,5,2,9,5,492.67,8.54975089168064
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)C)C(=O)NC(C)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C(C)C)C(=O)N,timbal,-2.5171,13,11,23,1,814.831,5.39794000867204
NC(=N)NCCCCOc1ccc(C[C@H](NS(=O)(=O)c2cccc(c2)C(F)(F)F)C(=O)O)cc1N,timbal,1.90387,5,6,12,2,517.53,8.76955107862173
OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1c(F)cccc1Br,ippidb,3.4952,4,3,5,3,405.223,6.37
CCOc1cc(ccc1C1=N[C@H]([C@H](N1C(=O)N1CCNC(=O)C1)c1ccc(Cl)cc1)c1ccc(Cl)cc1)N(C(=O)N1CCNC(=O)C1)S(C)(=O)=O,ippidb,3.8065,7,5,7,6,756.669,6.51
CN(C)c1nc(NCc2ccc(NC(=O)c3ccc(F)cc3)cc2)c2ccc(cc2n1)C#N,ippidb,4.57098,4,2,6,4,440.482,5.83
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N3CCC[C@H]3C(=O)O,timbal,0.2295,4,5,6,3,358.398,7.48004081924793
COc1ccccc1c2ccc(C[C@H](NC(=O)C3(C)CCCS3(=O)=O)C(=O)O)cc2,timbal,2.4414,6,2,7,3,431.51,8.88605664769316
CN1C(=O)N(C(=O)[C@]11CN(C[C@H]1c1ccc(cc1)C#N)c1nc2cc(ccc2o1)C(O)=O)c1cc(Cl)cc(Cl)c1,ippidb,5.14568,5,2,4,6,576.396,8.4
COc1ccccc1Sc1ccc(cc1C(F)(F)F)-c1ccnc(c1)N1CCC(CC1)C(O)=O,ippidb,6.2282,4,1,6,4,488.531,6.95
CC(C)C[C@H](NC(=O)Cc1ccc(NC(=O)Nc2c(C)cccc2C)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C(C)C)C(=O)NCCc3ccccc3,timbal,4.48004,7,7,18,3,728.891,4.44009337496389
CN(C)CCC[C@](O)(c1ccccc1)c1cccc(OCc2cccc(c2)-c2ccc(cc2)C(O)=O)c1,ippidb,6.2085,4,3,11,4,495.619,4.7
Clc1cc(Cl)cc(c1)N2C(=O)NC(=O)\C(=C\c3ccccc3)\C2=O,timbal,3.6598,3,1,2,3,361.184,5.79588001734408
CCCN(C(=O)CC(=O)O)C1=C(C)CC(N(Cc2ccc(N)cc2)C1=O)c3ccccc3,timbal,3.7297,4,4,8,3,435.524,6.22184874961636
Clc1ccc(cc1Cl)C(=O)Nc1ccc2[nH]c(CN3CCCCC3)nc2c1,ippidb,5.1079,2,4,4,4,403.313,5.3467874862
Clc1ccc2c(CCNc3ccc(Nc4ccnc5ccccc45)cc3)c[nH]c2c1,ippidb,6.7677,1,3,6,5,412.924,7.0
CCOC(=O)C[C@H](NC(=O)CCC(=O)Nc1ccc(cc1)C(=N)N)C#C,timbal,0.76057,4,4,9,1,358.398,8.69897000433602
O[C@H]1CCN([C@@H]1C(=O)N[C@@H](Cc2ccc(cc2)c3ccccc3C#N)C(=O)O)S(=O)(=O)c4cc(Cl)cc(Cl)c4,timbal,3.46808,6,3,8,4,588.469,10.0
CN1c2ncnn2[C@H](C2=C1c1c(F)cccc1O[C@@H]2c1ccc(Br)cc1)c1ccc(Br)cc1,ippidb,6.5264,4,0,2,6,568.244,5.76
OC(=O)[C@H](CCC(=O)N1CCC2(CC1)CCN(CC2)c3ccncc3)NC(=O)OCc4ccccc4,timbal,3.4504,6,3,8,4,494.592,8.15490195998574
CC(C)(C)CC(=O)N1C[C@@H](C[C@H]1CNc2ccccn2)OCC(=O)NC[C@H](NC(=O)C3(C)CCCCC3)C(=O)O,timbal,2.5718,7,5,12,3,559.708,8.85387196432176
CC[C@@H](C)Oc1cc2[C@@H](N(C(=O)Cc2cc1OC)c1ccc(cc1)N(C)Cc1ccncc1)c1ccc(Cl)cc1,ippidb,7.236,4,0,9,5,556.106,8.096910013
CC(C)[C@H](NC(=O)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C)C(=O)NCC(=O)N2CCC[C@@H]2C(=O)NCC(=O)N[C@@H](C)C(=O)N,timbal,-3.6842,9,10,16,2,648.722,2.55284196865778
O=C1Nc2ccccc2C1=Nc1ccc(cc1)N(=O)=O,ippidb,2.6677,1,1,2,3,267.244,5.5528419687
COc1ccc(CN([C@@H](C(=O)NCc2ccccc2)c2ccc3cc(OCC(=O)OC(C)(C)C)ccc3c2)C(=O)Cc2ccc(OC)cc2)cc1,ippidb,7.2065,7,2,14,5,688.821,4.57
NC(=N)c1ccc(cc1)C(=O)Nc2ccc3CCC(CC(=O)O)Cc3c2,timbal,2.80257,3,4,5,3,351.406,9.92081875395238
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc2c[nH]cn2)C(=O)N[C@@H](C)C(=O)O,timbal,-1.9884,8,9,14,2,564.644,2.69897000433602
Cc1ccccc1CNC(=O)Nc2cccc(NC(=O)c3cc(Cl)cc(Cl)c3)c2,timbal,5.87582,2,3,5,3,428.319,5.67366413907125
OC(=O)C[C@H](NC(=O)[C@@H]1CCCN(C1)C(=O)CCC2CCNCC2)C#Cc3ccccc3,timbal,2.016,4,4,7,3,439.556,9.53760200210104
OC(=O)c1cccc(c1)S(=O)(=O)N1[C@@H]([C@H](c2ccc(Cl)cc2)n2c1cccc2=O)c1ccc(Cl)cc1,ippidb,5.3929,5,1,5,5,541.412,6.11
CCOC(=O)c1cnn(c1NC(=O)c1cc2nc(cc(n2n1)C(F)(F)Cl)-c1ccco1)-c1ccccc1,ippidb,4.8921,6,1,7,5,526.887,4.57
CCNS(=O)(=O)c1ccc2NC(=O)N(C)Cc2c1,timbal,0.9621,3,3,3,2,269.326,5.72124639904717
COC1=C(C(=O)N(C)N=C1)c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)c4nnn[nH]4)cc2,timbal,2.9896,7,4,7,4,500.346,5.67778070526608
CC(C)[C@H](NC(=O)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C)C(=O)NCC(=O)N2CCC[C@H]2C(=O)NC3(CCCC3)C(=O)N[C@@H](C)C(=O)N,timbal,-2.3714,9,10,16,3,702.814,3.16749108729376
COC1=C(C(=O)N(N=C1)C(C)(C)C)c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2,timbal,4.4064,6,2,7,3,518.397,7.3767507096021
CN([C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O)S(=O)(=O)c3ccc4ccccc4c3,timbal,5.3916,8,3,14,4,673.571,9.0
OCc1cc(Nc2ccc3N(CCc4c[nH]c5ccccc45)CCCc3c2)ccn1,ippidb,4.7941,2,3,6,5,398.51,5.85
OC(=O)CCN1CCS[C@H](CC(=O)O)C(=O)N[C@@H](Cc2ccc(O)cc2)C1=O,timbal,0.3129,7,5,7,2,410.448,5.30102999566398
OC(=O)[C@H](Cc1ccc(NC(=O)c2c(Cl)cncc2Cl)cc1)NC(=O)[C@@H]3CCCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4,timbal,4.9127,7,3,9,4,660.363,10.1549019599857
COc1ccccc1c2ccc(C[C@H](NC(=O)C3(CCCC3)C4=CN(C)C(=O)C=C4)C(=O)O)cc2,timbal,3.6848,5,2,8,4,474.557,7.74472749489669
CN(C)CCNC(=O)[C@@H](N1[C@@H](c2ccc(Cl)cc2)C(=O)Nc2ccc(I)cc2C1=O)c1ccc(Cl)cc1,ippidb,5.1527,3,4,7,4,651.332,4.57
OC(=O)[C@@H]1CC[C@H](CC1)OC[C@@H]2C[C@H](F)CN2C(=O)Cc3ccc(NC(=O)c4nccc5ccccc45)c(Cl)c3,timbal,5.282,7,3,8,5,568.045,6.37882371822496
CC(C)c1ccccc1Sc1ccc(cc1C(F)(F)F)-c1ccnc(c1)N1C[C@H](O)C[C@H]1C(O)=O,ippidb,6.0662,4,2,6,4,502.558,7.05
COC(=O)c1cccc(NC(=O)\C=C\Oc2ccc(cc2)C34CC5CC(CC(C5)C3)C4)c1,timbal,5.4722,4,1,6,6,431.532,6.13076828026902
NC(=N)c1ccc2oc(cc2c1)C(=O)NCCCCCCCC(=O)O,timbal,2.87187,3,4,10,2,345.399,5.48148606012211
CN1N=CC(=C(C1=O)c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2)n4cc(Br)cn4,timbal,4.128,6,2,7,4,591.249,7.4089353929735
CNC(=O)[C@H](Cc1ccc2ccccc2c1)N1CCC(=O)N([C@@H](CC(C)C)C1=O)C(=O)Nc1ccncc1,ippidb,3.5996,5,4,7,4,515.614,5.43
OC(=O)[C@H](CNC(=O)c1c[nH]cn1)NC(=O)c1c(Cl)cc2CN(CCc2c1Cl)C(=O)c1ccc(Cl)cc1,ippidb,3.1814,6,6,7,4,564.813,6.37
CN(C)CCCN(C)Cc1ccc(Cl)cc1-c1c(nc(-c2ccccc2)n1-c1cccc(Cl)c1F)C(O)=O,ippidb,6.7339,4,3,10,4,555.481,6.17
CCCS(=O)(=O)c1cc(NC(Cc2ccc(cc2)c3c(OC)cccc3OC)C(=O)O)ncn1,timbal,3.4523,8,2,11,3,485.562,9.4089353929735
COc1cccc(OC)c1c2ccc(C[C@H](NC(=O)[C@]3(CCCO3)C(=O)C(C)C)C(=O)O)cc2,timbal,3.257,7,2,10,3,469.534,9.17392519729917
OC(=O)CC1(CC1c2ccc(OCCc3ccc4CCCNc4n3)cc2)c5ccccc5,timbal,4.9612,4,2,8,5,428.532,5.56863623584101
COc1cc(CC(=O)N2CC=CC2C(=O)N3CCN(CC(=O)O)CC3)ccc1NC(=O)Nc4ccccc4C,timbal,2.18592,6,6,8,4,535.601,8.85387196432176
COCCCN1C(C(=C(O)C1=O)C(=O)c2ccc(C)nc2)c3ccc(cc3)C(F)(F)F,timbal,4.02362,5,2,7,3,434.414,3.57024771999759
Cn1ncc2c1nc(-c1cccc(c1)C(F)(F)F)c1c2[nH]n(-c2ccc(cc2)C(=O)Nc2cccc(CO)c2)c1=O,ippidb,5.0309,5,4,5,6,558.52,7.77
COc1ccc2C=CC(=O)Oc2c1CC=C(C)C,timbal,3.3103,2,0,3,2,244.29,5.79588001734408
NCCCCCC(=O)N1CCCC(CNCCC(=O)O)C1,timbal,0.8084,3,4,10,1,299.415,5.23657200643706
Cc1ccc(NN=C2/Sc3ccccc3C2=O)cc1,ippidb,3.70902,1,1,2,3,268.341,5.22
CC(=O)N1CSC[C@@H]1C(=O)N[C@@H](Cc2ccc(OCc3c(Cl)cccc3Cl)cc2)C(=O)O,timbal,3.6057,5,3,8,3,497.4,6.72124639904717
Cc1ccc(NC(=S)NNc2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O)cc1Cl,ippidb,4.79712,0,3,5,2,449.798,6.3010299957
Oc1c(O)c(cc(C(=O)c2cccc3ccccc23)c1O)C(=O)c1ccc(Oc2ccccc2)cc1,ippidb,6.2109,6,3,6,5,476.484,6.54
OC(=O)[C@H](CCCCCCCc1ccc2CCCNc2n1)NC(=O)OCc3ccccc3,timbal,4.7024,5,3,12,3,439.556,8.21467016498923
Cc1ccccc1NC(=O)Nc2ccc(cc2)CC(=O)NC(CC(C)C)CC(=O)NC(c3ccccc3)C(=O)[O-],timbal,3.70992,4,4,12,3,543.644,5.19382002601611
CCOC(=O)c1cc(OCC)cc(c1)-c1c(C)noc1C,ippidb,3.53384,4,0,5,2,289.331,5.4814860601
CN1C(=O)C(=O)c2ccccc12,ippidb,0.8457,2,0,0,2,161.16,5.2006594505
CN1C(=O)N(C(=O)[C@]11CN(C[C@H]1c1ccc(cc1)C#N)c1cc(C)c(cn1)C(O)=O)c1cc(Cl)cc(Cl)c1,ippidb,4.7079,5,2,4,5,550.402,7.96
CC(O)CN1C(C(=C(O)C1=O)C(=O)c2ccc(C)cc2)c3ccc4ccccc4c3,timbal,4.10732,4,3,5,4,401.462,3.89279003035213
FC(F)(F)c1c(Sc2ccccc2OCc2ccccn2)ccc(\C=C\C(=O)N2CCOCC2)c1C(F)(F)F,ippidb,6.7214,4,1,7,4,568.539,8.01
COc1cccc(NC(Cc2ccc(cc2)c3c(OC)cccc3OC)C(=O)O)n1,timbal,3.8822,6,2,9,3,408.454,5.37882371822496
O[C@@H]1CC[C@@H](C1)OC2(N(Cc3ccc(cc3)C#N)C(=O)c4ccccc24)c5ccc(Cl)cc5,timbal,4.99878,3,2,5,5,458.945,5.63827216398241
NC(=N)c1ccc(cc1)N2CCC3(CCN(CC3)C(=O)CC(CC(=O)O)c4ccccc4)C2=O,timbal,2.96477,4,4,7,4,462.55,7.04575749056068
N[C@@H](Cc1ccccc1)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](CO)NC2=O)C(=O)O,timbal,-1.5263,7,7,6,3,553.663,5.82390874094432
Cc1nnc2c3ccccc3c(nn12)-c1ccc(N2CCOCC2)c(NS(=O)(=O)c2ccc(Cl)cc2)c1,ippidb,4.54372,6,1,5,6,535.029,6.2
Cc1ccc(NC(=O)Nc2cccc(NC(=O)Nc3ccc(C)cc3C)c2)c(C)c1,timbal,6.20828,2,4,4,3,402.498,5.07058107428571
OC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H]2CCCN2S(=O)(=O)c3cc(Cl)cc(Cl)c3,timbal,2.4151,6,2,7,3,478.379,5.62893213772826
OC[C@@H]1NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H]2CCCN2C1=O)C(=O)O)NC(=O)c3ccccc3,timbal,-0.7825,7,6,4,3,510.594,5.72124639904717
CCOc1cc(ccc1C1=N[C@H]([C@H](N1C(=O)N1CCN(CCS(C)(=O)=O)CC1)c1ccc(F)cc1)c1ccc(F)cc1)C(C)(C)C,ippidb,5.988,6,3,8,5,652.808,7.22
CC(=NNC(=O)c1ccccc1O)c1ccc2ccccc2c1O,ippidb,3.405,3,3,3,3,320.348,6.1487416513
Cc1noc(C)c1-c1ccc(C)c(c1)S(=O)(=O)NC1CC1,ippidb,2.70756,3,1,4,3,306.387,6.0
Cc1ccc(cn1)C(=O)C2=C(O)C(=O)N(CC=C)C2c3ccc(cc3)C(F)(F)F,timbal,4.17312,4,2,5,3,402.372,4.55284196865778
CNC(=O)[C@H](Cc1ccc2ccccc2c1)N1CCC(=O)N(CCc2cnc3ccccc3c2)[C@@H](CC(C)C)C1=O,ippidb,4.7634,4,3,9,5,550.703,6.05
Oc1cccc(O)c1C(=O)NC(=O)NC2c3ccccc3c4ccccc24,timbal,3.3072,4,4,2,4,360.369,7.5003129173816
C[C@@H](N1[C@@H](c2ccc(Cl)cc2)C(=O)N(CC(=O)N2CCOCC2)c2ccc(I)cc2C1=O)c1ccc(Cl)cc1,ippidb,5.7481,4,2,5,5,678.354,5.27
CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc12,ippidb,3.65602,4,1,5,4,423.904,7.49
COc1cc(ccc1NC(=O)C1NC(CC(C)(C)C)C2(C1c1cccc(Cl)c1F)C(=O)Nc1ccncc21)C(O)=O,ippidb,4.9699,7,4,6,5,581.044,7.2839966564
Clc1cc(Cl)cc(NC(=S)Nc2cccc(NC(=S)Nc3cc(Cl)cc(Cl)c3)c2)c1,timbal,7.918,0,4,4,3,516.306,6.31875876262441
COc1ccc(Cl)cc1-c1c(nc(-c2cccc(C)c2)n1-c1cc(Cl)ccc1C)C#N,ippidb,7.01022,2,0,4,4,448.353,5.51
N\C(=N/N1CCOCC1)\c2ccc(cc2)N3CCC4(CCN(CC4)C(=O)CCCC(=O)O)C3=O,timbal,1.2395,5,3,7,4,471.558,5.25963731050576
Cc1cccc(n1)-c1nc(C(O)=O)c(-c2cccc(Cl)c2)n1-c1cc(Cl)ccc1C,ippidb,6.22314,4,1,4,4,438.314,6.92
CN[C@@H](C)C(=O)Nc1ncc(-c2ccccc2)n(CC(=O)N[C@@H]2CCCc3ccccc23)c1=O,ippidb,2.6505,4,3,7,4,459.55,6.0
OC(=O)[C@@H](N1[C@@H](c2ccc(cc2)C(F)(F)F)C(=O)Nc2ccc(I)cc2C1=O)c1ccccc1,ippidb,5.2715,4,3,4,4,580.3,5.66
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)N(C)C(=O)C2,timbal,1.3837,4,2,3,2,295.379,3.90622821850127
Oc1ccc(C(=O)C=Cc2cccc(O)c2O)c(O)c1,ippidb,2.4051,5,4,3,2,272.256,5.77
COCCCN1C(C(=C(O)C1=O)C(=O)c2ccc(C)nc2)c3ccc(c(F)c3)C(F)(F)F,timbal,4.16272,6,2,7,3,452.404,3.73992861201493
N[C@@H](Cc1c(F)c(F)c(O)c(F)c1F)C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](CO)NC2=O)C(=O)O,timbal,-1.2643,12,8,6,3,641.622,4.22184874961636
CCNc1nc(NCC)nc(n1)C(=O)Nc1ccccc1,ippidb,1.9875,4,3,6,2,286.339,4.68
COc1ccc2\C(=C/c3cccc(O)c3)\C(=O)Nc2c1,timbal,2.8935,3,2,2,3,267.284,5.04095860767891
CC(=O)N1CC[C@H]([C@@H]1C(=O)N[C@H]2CSSC[C@H](NC(=O)[C@@H]3CCCN3C(=O)[C@H](CO)NC2=O)C(=O)O)c4ccc(O)cc4,timbal,-0.9861,9,8,5,4,637.737,9.30102999566398
CC(=O)N1CSCC1C(=O)N\C(=C\c2ccc(OCc3c(Cl)cccc3Cl)cc2)\C(=O)O,timbal,4.0355,5,3,7,3,495.384,4.08092190762393
